,n,gen_period,ps,p,successful,total,successful_0,total_0,successful_1,total_1,successful_2,total_2,successful_3,total_3,successful_4,total_4,successful_5,total_5,successful_6,total_6,successful_7,total_7,successful_8,total_8,successful_9,total_9,successful_10,total_10,successful_11,total_11,successful_12,total_12,successful_13,total_13,successful_14,total_14,successful_15,total_15,successful_16,total_16,successful_17,total_17,successful_18,total_18,successful_19,total_19,successful_20,total_20,successful_21,total_21,successful_22,total_22,successful_23,total_23,successful_24,total_24,successful_25,total_25,successful_26,total_26,successful_27,total_27,successful_28,total_28,successful_29,total_29,successful_30,total_30,successful_31,total_31,successful_32,total_32,successful_33,total_33,successful_34,total_34,successful_35,total_35,successful_36,total_36,successful_37,total_37,successful_38,total_38,successful_39,total_39,successful_40,total_40,successful_41,total_41,successful_42,total_42,successful_43,total_43,successful_44,total_44,successful_45,total_45,successful_46,total_46,successful_47,total_47,successful_48,total_48,successful_49,total_49,successful_50,total_50,successful_51,total_51,successful_52,total_52,successful_53,total_53,successful_54,total_54,successful_55,total_55,successful_56,total_56,successful_57,total_57,successful_58,total_58,successful_59,total_59,successful_60,total_60,successful_61,total_61,successful_62,total_62,successful_63,total_63,successful_64,total_64,successful_65,total_65,successful_66,total_66,successful_67,total_67,successful_68,total_68,successful_69,total_69,successful_70,total_70,successful_71,total_71,successful_72,total_72,successful_73,total_73,successful_74,total_74,successful_75,total_75,successful_76,total_76,successful_77,total_77,successful_78,total_78,successful_79,total_79,successful_80,total_80,successful_81,total_81,successful_82,total_82,successful_83,total_83,successful_84,total_84,successful_85,total_85,successful_86,total_86,successful_87,total_87,successful_88,total_88,successful_89,total_89,successful_90,total_90,successful_91,total_91,successful_92,total_92,successful_93,total_93,successful_94,total_94,successful_95,total_95,successful_96,total_96,successful_97,total_97,successful_98,total_98,successful_99,total_99
207,50,10,1,0.001,9086.0,50000.0,202.2,1000.0,34.4,1000.0,119.2,1000.0,414.4,1000.0,196.8,1000.0,195.4,1000.0,45.6,1000.0,112.6,1000.0,119.4,1000.0,182.4,1000.0,94.8,1000.0,196.4,1000.0,336.6,1000.0,294.8,1000.0,401.8,1000.0,99.8,1000.0,101.2,1000.0,262.0,1000.0,216.8,1000.0,247.2,1000.0,105.2,1000.0,221.8,1000.0,167.6,1000.0,274.8,1000.0,54.6,1000.0,322.6,1000.0,325.2,1000.0,171.8,1000.0,29.6,1000.0,222.6,1000.0,305.0,1000.0,110.6,1000.0,243.6,1000.0,1.4,1000.0,117.2,1000.0,136.4,1000.0,285.0,1000.0,74.0,1000.0,44.8,1000.0,200.6,1000.0,77.4,1000.0,260.2,1000.0,241.2,1000.0,200.0,1000.0,58.2,1000.0,145.4,1000.0,213.2,1000.0,136.0,1000.0,60.2,1000.0,406.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,50,25,1,1.0,8943.4,20000.0,190.6,400.0,161.8,400.0,207.6,400.0,206.2,400.0,187.4,400.0,112.0,400.0,208.0,400.0,175.2,400.0,270.2,400.0,190.0,400.0,149.4,400.0,233.2,400.0,213.8,400.0,145.0,400.0,151.4,400.0,165.2,400.0,208.2,400.0,103.8,400.0,121.4,400.0,109.0,400.0,106.0,400.0,148.0,400.0,169.2,400.0,182.0,400.0,233.0,400.0,132.0,400.0,151.4,400.0,170.6,400.0,245.4,400.0,190.8,400.0,221.6,400.0,334.6,400.0,143.6,400.0,24.4,400.0,131.8,400.0,141.2,400.0,77.8,400.0,264.8,400.0,237.4,400.0,195.8,400.0,189.4,400.0,125.2,400.0,169.4,400.0,272.6,400.0,129.8,400.0,199.4,400.0,105.4,400.0,261.8,400.0,226.4,400.0,253.2,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,50,25,1,0.9,8964.4,20000.0,232.0,400.0,236.6,400.0,174.8,400.0,180.8,400.0,129.6,400.0,149.2,400.0,273.0,400.0,75.6,400.0,221.6,400.0,149.6,400.0,212.8,400.0,117.2,400.0,163.0,400.0,193.8,400.0,270.4,400.0,287.2,400.0,218.0,400.0,163.8,400.0,261.6,400.0,186.0,400.0,192.4,400.0,151.2,400.0,153.4,400.0,168.2,400.0,96.0,400.0,144.8,400.0,149.8,400.0,197.0,400.0,132.2,400.0,122.8,400.0,271.2,400.0,200.2,400.0,62.8,400.0,169.6,400.0,205.8,400.0,172.4,400.0,175.2,400.0,237.4,400.0,204.6,400.0,173.4,400.0,184.6,400.0,181.2,400.0,119.2,400.0,143.4,400.0,127.2,400.0,179.8,400.0,116.8,400.0,222.0,400.0,268.0,400.0,145.2,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,50,25,1,0.75,8988.2,20000.0,143.8,400.0,241.0,400.0,132.0,400.0,117.4,400.0,235.0,400.0,119.0,400.0,163.6,400.0,220.6,400.0,258.4,400.0,49.8,400.0,295.4,400.0,145.4,400.0,244.8,400.0,148.0,400.0,204.4,400.0,163.6,400.0,152.8,400.0,155.4,400.0,110.8,400.0,166.4,400.0,318.8,400.0,218.8,400.0,110.6,400.0,175.2,400.0,142.0,400.0,159.8,400.0,91.2,400.0,118.4,400.0,163.8,400.0,211.4,400.0,263.4,400.0,171.2,400.0,85.8,400.0,248.2,400.0,187.2,400.0,228.4,400.0,116.2,400.0,119.2,400.0,180.2,400.0,139.4,400.0,226.0,400.0,183.4,400.0,176.6,400.0,219.0,400.0,126.6,400.0,154.2,400.0,358.2,400.0,289.6,400.0,217.0,400.0,120.8,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,50,25,1,0.5,8971.4,20000.0,157.2,400.0,204.2,400.0,288.0,400.0,169.6,400.0,144.8,400.0,227.0,400.0,158.6,400.0,89.4,400.0,194.2,400.0,192.0,400.0,202.4,400.0,194.0,400.0,172.2,400.0,220.8,400.0,235.4,400.0,179.6,400.0,152.2,400.0,195.4,400.0,189.6,400.0,188.8,400.0,234.6,400.0,124.0,400.0,108.0,400.0,240.4,400.0,164.8,400.0,255.4,400.0,151.2,400.0,120.4,400.0,259.8,400.0,160.0,400.0,199.4,400.0,131.4,400.0,187.0,400.0,179.0,400.0,155.4,400.0,247.8,400.0,183.0,400.0,194.6,400.0,214.2,400.0,234.8,400.0,128.2,400.0,194.4,400.0,158.8,400.0,142.4,400.0,164.8,400.0,164.8,400.0,146.0,400.0,112.2,400.0,71.4,400.0,187.8,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,50,25,1,0.2,8892.0,20000.0,115.8,400.0,255.4,400.0,232.8,400.0,146.0,400.0,199.2,400.0,120.0,400.0,152.0,400.0,230.2,400.0,158.2,400.0,163.8,400.0,267.6,400.0,174.2,400.0,147.4,400.0,111.4,400.0,176.4,400.0,147.0,400.0,211.8,400.0,97.6,400.0,215.6,400.0,150.2,400.0,171.2,400.0,75.8,400.0,163.4,400.0,154.2,400.0,88.6,400.0,228.2,400.0,143.0,400.0,117.0,400.0,142.0,400.0,177.2,400.0,159.0,400.0,209.6,400.0,204.0,400.0,275.0,400.0,100.0,400.0,267.0,400.0,110.8,400.0,294.8,400.0,231.8,400.0,126.8,400.0,259.6,400.0,240.0,400.0,250.6,400.0,314.4,400.0,169.4,400.0,145.4,400.0,171.6,400.0,91.0,400.0,216.0,400.0,122.0,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,50,25,1,0.1,9033.4,20000.0,210.8,400.0,189.4,400.0,157.4,400.0,235.8,400.0,147.2,400.0,141.2,400.0,105.6,400.0,94.0,400.0,133.2,400.0,274.8,400.0,168.0,400.0,149.8,400.0,170.4,400.0,88.8,400.0,230.8,400.0,272.2,400.0,305.6,400.0,99.4,400.0,185.2,400.0,177.0,400.0,194.8,400.0,197.0,400.0,220.0,400.0,221.6,400.0,136.2,400.0,172.2,400.0,203.6,400.0,116.0,400.0,182.0,400.0,210.8,400.0,126.6,400.0,330.0,400.0,139.6,400.0,203.8,400.0,113.0,400.0,207.6,400.0,184.8,400.0,254.6,400.0,174.2,400.0,141.6,400.0,263.0,400.0,106.2,400.0,215.8,400.0,111.2,400.0,92.8,400.0,209.6,400.0,180.4,400.0,205.2,400.0,146.8,400.0,235.8,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,50,25,1,0.01,9432.2,20000.0,107.2,400.0,178.0,400.0,215.2,400.0,153.6,400.0,117.4,400.0,158.4,400.0,190.6,400.0,214.0,400.0,169.6,400.0,74.8,400.0,253.0,400.0,178.4,400.0,227.6,400.0,201.8,400.0,128.2,400.0,230.2,400.0,93.8,400.0,185.4,400.0,246.6,400.0,185.8,400.0,124.0,400.0,153.2,400.0,137.0,400.0,242.2,400.0,247.8,400.0,127.2,400.0,243.0,400.0,234.8,400.0,176.2,400.0,214.0,400.0,206.0,400.0,134.8,400.0,264.6,400.0,201.4,400.0,213.4,400.0,159.8,400.0,302.8,400.0,123.6,400.0,208.8,400.0,217.8,400.0,127.8,400.0,218.4,400.0,185.6,400.0,162.8,400.0,232.4,400.0,254.2,400.0,215.6,400.0,227.2,400.0,162.2,400.0,204.0,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,50,25,1,0.001,8028.4,20000.0,114.6,400.0,195.2,400.0,200.8,400.0,56.8,400.0,186.2,400.0,134.6,400.0,183.0,400.0,294.8,400.0,267.2,400.0,123.2,400.0,205.8,400.0,149.0,400.0,233.2,400.0,288.8,400.0,112.4,400.0,189.0,400.0,78.0,400.0,216.4,400.0,192.0,400.0,169.2,400.0,171.2,400.0,188.8,400.0,162.6,400.0,190.8,400.0,103.8,400.0,152.8,400.0,142.6,400.0,139.0,400.0,180.6,400.0,108.0,400.0,172.2,400.0,169.8,400.0,76.4,400.0,137.4,400.0,281.6,400.0,59.8,400.0,200.8,400.0,174.2,400.0,105.6,400.0,94.6,400.0,129.8,400.0,109.0,400.0,116.2,400.0,124.0,400.0,110.0,400.0,124.6,400.0,221.2,400.0,184.8,400.0,128.2,400.0,177.8,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,50,50,1,1.0,7626.6,10000.0,176.2,200.0,185.2,200.0,133.2,200.0,152.4,200.0,169.8,200.0,161.2,200.0,147.4,200.0,158.4,200.0,149.2,200.0,158.4,200.0,155.4,200.0,162.6,200.0,129.0,200.0,119.6,200.0,170.8,200.0,139.0,200.0,135.8,200.0,136.6,200.0,157.2,200.0,165.6,200.0,139.8,200.0,160.0,200.0,157.6,200.0,150.0,200.0,169.2,200.0,132.4,200.0,141.4,200.0,150.2,200.0,158.8,200.0,132.4,200.0,142.8,200.0,150.8,200.0,165.2,200.0,194.4,200.0,156.4,200.0,158.0,200.0,165.8,200.0,171.8,200.0,165.2,200.0,140.0,200.0,156.4,200.0,142.8,200.0,112.4,200.0,147.0,200.0,172.8,200.0,152.8,200.0,141.8,200.0,157.0,200.0,144.6,200.0,133.8,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
